lemma;id;pos;gloss;Russian gloss
исуфъ;143881;Ne;Yusuf;Исуф
исушити;135280;V-;dry;высушить
исхарчити;144217;V-;expend;израсходовать
исходити;124001;V-;walk, go out;исходить, выходить
исходъ;130446;Nb;exit, end;выход, конец
исхождение;138700;Nb;Exodus, exit;исход, выход
исхожение;130510;Nb;Exodus, exit;исход, выход
исцѣлебьныи;139147;A-;curative;лечебный
исцѣление;125570;Nb;healing;исцеление
исцѣлити;130186;V-;heal;излечить
исцѣлѣвати;130035;V-;recover;выздоравливать
исцѣляти;139945;V-;heal;исцелять
исчазати;141541;V-;disappear;исчезать
исчезати;139891;V-;disappear, die out;исчезать, вымирать
исчезнути;132816;V-;disappear;исчезнуть
исчисти;135871;V-;count;пересчитать
исчитати;138790;V-;esteem;почитать
исшити;137532;V-;have a dress made;сшить
исщипати;142661;V-;pluck;общипать
исъхнути;132329;V-;sear;иссушить
исѣщи;124889;V-;cut, sever;резать, перерезать
италия;130983;Ne;Italy;Италия
итларевичь ;134452;Ne;Itlarevich;Итларевич
итларевъ ;132984;A-;Itlar's;Итларев
итларь ;132976;Ne;Itlar;Итларь
иулии;137133;Nb;July;июль
иулиянъ;134856;Ne;Julian;Юлиан
ифакина;124144;Ne;Iphakina;Ифакина
июда;130345;Ne;Judas;Иуда
июдинъ;135142;A-;Judah's;Иудин
июдовъ;130429;A-;Judas's;Иудин
июдѣискыи;130406;A-;Jewish;иудейский
июнь;137113;Nb;June;июнь
ияковль;130120;A-;Jacob's;Яковлев
ияковъ;130471;Ne;Yakov, Jakob;Иаков
кабала;137082;Nb;debenture;долговая расписка
кабанъ;139233;Nb;boar;кабан
кабы;141517;Df;kind of;как будто
кавькасиискыи ;124187;A-;Caucasus;кавказский
каганъ;125159;Nb;khan;каган (титул правителя)
кадило;130091;Nb;censer, incense;кадило, ладан
кадити;135017;V-;incense;кадить
кадь;131275;Nb;pail;кадь
кажение;135120;Nb;incensing;каждение
каженикъ;138861;Nb;eunuch;скопец
казакъ;139214;Nb;Cossack;казак
казанъ;138878;Ne;Kazan;Казань
казань;143652;Ne;Kazan;Казань
казаньскыи;138959;A-;Kazan;казанский
казатель;134334;Nb;tutor, preacher, exegete;учитель, толкователь
казати;124760;V-;say, point, punish, refl: seem;говорить, указывать, наказывать, возвр: казаться
казеньныи;124089;A-;official, state;казенный
казимиръ;132058;Ne;Kazimir;Казимир
казити;141137;V-;distort;искажать
казна;144221;Nb;treasury;казна
казначеи;137423;Nb;treasurer;казначей
казнити;124671;V-;put to death, punish;казнить, наказывать
казнь;123330;Nb;execution, punishment;казнь, наказание
каиновъ;131512;A-;Kain's;Каинов
каисымъ;143617;Ne;Kaisym;Кайсым
каитакъ;143648;Nb;Kaitak;кайтак (народ)
каитачьскыи;143667;A-;Kaitak;кайтакский
како;120375;Du;how;как
како;123651;Df;as, whereas, while;как
како;134827;Dq;how;как
каковыи;129850;Pi;which, what kind of;какой, каков
каковыи;134953;A-;what;какой
каковыи;135970;Pr;that;который, каковой
каковыи;136048;Px;any, whatever;какой-нибудь
какыи;132255;Pr;which, that;который
какыи;132656;Px;any, whatever;какой-нибудь
какыи;135946;Pi;which, what;какой, каков
каланды;134751;Nb;calends;календы
калафуръ;144056;Nb;camphor-tree;камфарное дерево
калъ;123992;Nb;feces, muck, mud;кал, навоз, грязь
кальныи;125325;A-;unclean, dirty;нечистый
каляти;132325;V-;refl: dirty;возвр: пачкаться
камалия;124017;Ne;Camalia;Камалия
камбатъ;144025;Ne;Kambaat;Камбат
камендрея;144280;Ne;Kamendrea;Камендрея
камение;129839;Nb;stones;камни
каменьныи;124823;A-;stone;каменный
каменьщикъ;137367;Nb;stonemason;каменщик
камешекъ;137094;Nb;small stone;камешек
камка;135749;Nb;damask (fabric);шелковая ткань
камо;121134;Du;where;куда
камчатыи;135796;A-;ingrought;камчатый, узорчатый
камчугъ;135544;Nb;kind of disease (eg podagra);вид болезни (напр. подагра)
камы;130028;Nb;stone;камень
камыкъ;142921;Nb;stone;камень
камынинъ;140203;Ne;Kamynin;Камынин
канбатъ;143724;Ne;Kambaat;Камбат
кандило;142829;Nb;censer;кадило
каницаръ ;124397;Ne;Kanitsar;Каницар
канонъ;142971;Nb;canon, Conan;канон, Конон
канунъ;131721;Nb;eve, drink, canon;канун, канун(напиток), канон
кападокия;124101;Ne;Cappadocia;Каппадокия
капати;129825;V-;drip;капать
капичь;125666;Nb;Kapich;Капичь
капище;131041;Nb;statue;статуя
капля;131672;Nb;drib;капля
каптана;140992;Nb;cart;повозка
каптуръ;135824;Nb;headwear;головной убор
капуста;135727;Nb;cabbage;капуста
капустьныи;136362;A-;cabbage;капустный
караманъ;144317;Ne;Karaman;Караман
карамкати;139663;V-;climb;карабкаться
караулъ;139063;Nb;guard;караул
караульщикъ;139413;Nb;guardsman;караульный
карачбѣи;143325;Nb;Karatch Bay;Карач-бей
кария;124019;Ne;Karia;Кария
каршевъ;124412;Ne;Karshev;Каршев
кары;124410;Ne;Kary;Кары
касати;134488;V-;touch, relate;касаться, относиться
касогъ;125162;Nb;Kasog;касог(племя)
касожьскыи ;131923;A-;Kasog;касожский
катарга;143235;Nb;rowing boat;гребное судно
катерина;134246;Ne;Katerina;Катерина
католичьскыи;138659;A-;Catholic;католический
кафа;144312;Ne;Qafa;Кафа
кафа;144489;Nb;Kafa;Кафа(город)
кафаръ;143697;Nb;Kafar;кафар(племя)
кафизма;140564;Nb;section of the Psalter;кафизма(раздел Псалтири)
кафтанишко;139286;Nb;caftan;кафтан
кафтанъ;135790;Nb;caftan;кафтан
каша;135695;Nb;porridge;каша
кашень;143703;Ne;Kashen;Кашень
кашляти;135958;V-;cough;кашлять
кашька;136397;Nb;porridge;каша
кашьль;135541;Nb;cough;кашель
каяние;134131;Nb;repentance;раскаяние
каяти;130350;V-;repent;каяться
квасъ;120382;Nb;kvass, ferment;квас, закваска
квасьныи;135684;A-;leavened;заквашенный
квашение;136470;Nb;leavening;заквашивание
квашенина;136423;Nb;fodder;корм для скота
квашня;135681;Nb;leaven;закваска
квашьня;137535;Nb;wooden tub for the dough;деревянная кадка для теста
кебенякъ;136803;Nb;cap;кебеняк(шапка)
кедръ;123984;Nb;cedar;кедр
келарь;140191;Nb;cellarer;келарь
келарьство;140238;Nb;post cellarer;должность келаря
келеиникъ;132694;Nb;lay brother;келейник(прислужник)
келеиныи;135475;A-;еxclusionary;келеиный
келекотъ;144051;Ne;Kelekot;Келекот
келестинъ;130960;Ne;Celestine;Целестин
келия;132131;Nb;cell;келья
кельица;132718;Nb;cell;келья
кендарь;143781;Nb;measure of weight;мера веса
керкура;124145;Ne;Kerkura;Керкура
кесарь;130204;Nb;Caesar;Цезарь
кестякъ;144052;Nb;type of boat;вид лодки
кефалиния;124143;Ne;Cephalonia;Кефалиния
кыдати;140060;V-;throw;кидать
киликия;124011;Ne;Cilicia;Киликия
кынути;138882;V-;throw, refl:rush;кинуть, возвр.:кинуться
кипръ ;124094;Ne;Cyprus;Кипр
кыпятъкъ;136476;Nb;boiling-hot water;кипяток
кириловъ;142645;A-;Cyril's;Кириллов
кириловьна;140232;Ne;Kirillovna;Кирилловна
кирилушько;141485;Ne;Kirilushko (Kiril);Кирилушко
кирилъ;137413;Ne;Kirill (Cyril);Кирилл
кирпичь;137050;Nb;brick;кирпич
кирпищикъ;137368;Nb;mason;каменщик
киръ;143422;Nb;Cyrus;Кир
китанопа;134198;Ne;Kitanop;Китаноп
китъ;130590;Nb;whale;кит
кичирисъ;143839;Nb;Indian rice dish;индийское блюдо из риса
кишьчька;140819;Nb;intestine;кишочки
кишька;136410;Nb;intestine;кишка
клада;123397;Nb;log;колода
кладязь;130623;Nb;draw-well;колодец
кланяние;130081;Nb;worship;поклонение
кланяти;129972;V-;bow;кланяться
класти;134525;V-;put;класть
класъ;134809;Nb;spica;колос
клевета;132319;Nb;slander;клевета
клеветати;135426;V-;slander;клеветать
клеветьникъ;134961;Nb;slanderer;обвинитель
клековъ;124424;A-;Klekov;Клеков
клепати;135346;V-;indicate, blame;указывать, обвинть
кликати;123921;V-;call;звать
кликнути;129981;V-;cause;вызвать
климентъ;131035;Ne;Clement;Климент
климентъ;142775;Nb;Clement;Климент
клирикъ;143315;Nb;cleric;клирик
клиросъ;141108;Nb;choir;клирос
кличанинъ;133182;Nb;пугающий на охоте зверей криком или шумом;пугающий на охоте зверей криком или шумом
кличь;133359;Nb;scream;крик
клобукъ;140408;Nb;headwear;головной убор
кловъ;134247;Ne;Klov;Клов
клочъкъ;142613;Nb;scrap;клочок
клубъ;136364;Nb;ball;клуб
клѣть;125039;Nb;cage, den;клетка, коморка
клѣщино ;123051;Ne;Kleschino;Клещино
клюка;138850;Nb;cambock;клюка
ключарь;142839;Nb;housekeeper;ключник
ключити;124604;V-;happen;случаться
ключь;135904;Nb;key;ключ
ключьникъ;136062;Nb;housekeeper;ключник
ключьница;125300;Nb;housekeeper;ключница
клязьма;133415;Ne;Kliazma;Клязьма
клятва;124725;Nb;vow, curse;клятва, проклятие
клятвопреступление;135607;Nb;perjuration;клятвопреступление
кляти;124704;V-;curse, swear;приклинать, клясться
клячька;139657;Nb;horse;лошадь
кнутие;136835;Nb;whip;кнут
кнутъ;139251;Nb;whip;кнут
ко;139177;Df;(particle);-ка
кобелекъ;139485;Nb;dog;кобель
кобъ;132408;Nb;fate;судьба
кобыла;136492;Nb;mare;кобыла
кобылии;139558;A-;horse;лошадиный
кобылятина;139549;Nb;horsemeat;конина
коварьство;144439;Nb;craftiness;коварство
ковати;143782;V-;forgе;ковать
коврижька;132593;Nb;honey-cake;коврижка
ковшь;135981;Nb;ladle;ковш
ковъ;143737;Nb;10 miles;10 верст
ковъ;144226;Ne;Kov;Ков
ковьръ;125398;Nb;carpet;ковер
ковьчегъ;124985;Nb;ark;ковчег
кожа;130749;Nb;leather, skin;кожа
кожиньныи;136845;A-;leather;кожаный
коза;137728;Nb;goat;коза
козаре;123756;Ne;Khazar;хазары
козаринъ;134162;Nb;Casarin;Козарин
кози;143837;Nb;goat;коза
козма;140125;Ne;Kozma;Козьма
козьлина;142943;Nb;goatskin;козлиная шкура
козьлъ;132713;Nb;goat;козел
кокусь;133989;Ne;Koxus;Кокcусь
кокушька;140718;Nb;hen;курица
колачь;135687;Nb;loaf;калач
кълдовати;142662;V-;practise witchcraft;колдовать
колдунъ;139743;Nb;witch;колдун
колекотъ;144027;Ne;Celecot;Целекот
колесьница;140087;Nb;chariot;колесница
коли;135697;Dq;if, when;если, когда
коли;136660;Df;when, then;когда
коли;137219;Du;when;когда
колико;137493;Du;how many, how much;сколько
колико;144334;Dq;how many, how much;сколько
коло;123345;Nb;wagon, wheel;повозка, колесо
колобокъ;139577;Nb;loaf;колобок
колода;131569;Nb;wood block;колода
колодьникъ;130024;Nb;convict;узник
колодязь;131274;Nb;well;колодец
колоколъ;123766;Nb;bell;колокол
колокольць;143953;Nb;bell;колокольчик
коломанъ;134040;Ne;Koloman;Коломан
коломеньскыи;123896;A-;of Kolomna;коломенский
колоти;130584;V-;prick;колоть
колотити;140866;V-;beat;колотить
колочь;125455;Ne;Koloch;Колочь
колочьскыи;125644;A-;Kolocha;колочский
колпакъ;135941;Nb;hubcap;колпак
колуньгерь;143854;Ne;Kolunger;Колуньгерь
колъ;124423;Ne;Kol;Кол
колъ;141012;Nb;fishing weir (a device to trap fish);закол (сооружение для ловли рыбы)
колымага;140993;Nb;cart;повозка
колько;137199;Du;how many, how much;сколько
колько;143736;Dq;how many, how much;сколько
кольми;141255;Du;to what extent;в какой степени
кольскыи;139007;A-;Kola;кольский
кольце;140582;Nb;circle;кольцо
колѣбание;133312;Nb;hesitation;колебание
колѣбати;143247;V-;sway;колебать
колѣно;123071;Nb;knee, generation;колено, поколение
колѣньныи;132627;A-;genual;коленный
колязинъ;143591;Ne;Kaliazin;Калязин
комара;142868;Nb;dome;свод
комаръ;133380;Nb;mosquito;комар
комната;135885;Nb;room;комната
комнатка;140285;Nb;room;комната
комнатныи;140110;A-;indoor;комнатный
комонь;125206;Nb;horse;конь
коневыи;123993;A-;horse;конный
конина;125145;Nb;horsemeat;конина
конопля;136187;Nb;cannabis;конопля
конопляныи;136191;A-;cannabic;конопляный
конура;140616;Nb;kennel;конура
конъста;143099;Ne;Constas;Конста
конь;123114;Nb;horse;конь
коньникъ;143550;Nb;horseman;конник
коньныи;144245;A-;equestrian;конный
коньскыи;136849;A-;horse;конский
коньць;120460;Nb;end;конец
коньць;123422;Ne;End;Конец_
коньчавати;132599;V-;finish;кончать, возвр: кончаться
коньчати;130220;V-;finish;кончать, возвр: кончаться
коньчина;132271;Nb;end;конец, кончина
коньчьно;143212;Df;certainly;конечно
коньчьныи;137704;A-;final;конечный
конюхъ;134719;Nb;stableman;конюх
конюшеньныи;137038;A-;stables;конюшенный
конюшии;134027;A-;equerry;конюший
конюшьна;136890;Nb;stable;конюшня
конячии;134963;A-;horse;лошадиный
копание;142917;Nb;digging;копание
копати;130799;V-;dig;копать
копие;124681;Nb;spear;копье
копити;123627;V-;save, accumulate;копить, скопиться
копылъ;129852;Ne;Kopyl;Копыл
копыто;133194;Nb;hoof;копыто
копытьце;141468;Nb;small hoof;копытце
корабльныи;144286;A-;ship;корабельный
корабльць;134776;Nb;boat;лодка
кордуна ;123936;Nb;Kordun;Кордун
корение;135443;Nb;root;коренье
корета;140101;Nb;coach;карета
користь;133926;Nb;lucre, prey;корысть, добыча
корити;130014;V-;reproach;упрекать
корица;144057;Nb;cinnamon;корица
корлязи;124236;Nb;French residents in the Carolingian era;жители Франции в эпоху Каролингов
корнилии;138958;Ne;Cornelius;Корнилий
коробочька;140791;Nb;small box;коробочка
коробъка;140796;Nb;box;коробка
коробья;140406;Nb;box;коробка
корова;135618;Nb;cow;корова
короваець;136206;Nb;loaf;каравай
коровии;136422;A-;cow's;коровий
коровъка;136466;Nb;cow;коровка
королевичь;134153;Nb;Prince;королевич
король;134039;Nb;King;король
коротати;140608;V-;while away;коротать
корсунь;122815;Ne;Korsun;Корсунь
корсуньскыи;130818;A-;Korsun;корсунский
корсунянинъ;130774;Nb;a citizen of Korsun;житель Корсуни
къртьль;135823;Nb;fur-lined women's jacket;женская одежда на меху
корыто;135985;Nb;washtub;корыто
корьдно;134425;Ne;Koredno;Коредно
коря;140032;Nb;root;корень
коса;143657;Nb;braid;коса (заплетеные волосы)
коснути;143320;V-;touch;коснуться
коснячько;133390;Ne;Kosniachko;Коснячко
коснячьковъ;132434;A-;Kosniachko's;Коснячков
кострома;138953;Ne;Kostroma;Кострома
костромьскыи;138991;A-;Kostroma;костромской
кость;120456;Nb;bone;кость
костянтиновъ;143109;A-;Constantine's;Константинов
костянтинъ;121257;Ne;Constantine;Константин
костянтинъградъ;130899;Ne;Constantinopol;Константинополь
костянтинь;141442;A-;Constantinople;Константинополь
костянтинь;143050;Ne;Constantine;Константин
косякъ;136106;Nb;shoal;косяк
котельныи;136936;A-;boiler;котельный
котопанъ;132295;Nb;military rank;военный чин
котора;132518;Nb;quarrel;ссора
которати;132171;V-;quarrel;ссориться
которыи;121272;Px;any;какой-нибудь
которыи;123003;Pr;which, that;который
которыи;137200;Pi;which;который, какой
котьлъ;125141;Nb;cauldron;котел
коцьлъ;121235;Ne;Kocel;Коцел
коченье;140293;Nb;rigor;окоченение
кошь;142818;Nb;basket;корзина
кощуна;135318;Nb;sacrilege;кощунство
крабьица;131022;Nb;basket;корзина
крадъливыи;136993;A-;prone to theft;склонный к краже
краи;125008;Nb;edge;край
крамола;132252;Nb;insurrection;восстание
краниевъ;130205;A-;Krania's;краниев
краска;143725;Nb;dye;краска
красота;125401;Nb;beauty;красота
крастель;142799;Nb;landrail;коростель
красти;120461;V-;steal;красть
красьнъ;133923;Ne;Krasen;Красен
красьныи;129912;A-;beautiful;красивый
кратъ;142763;Nb;time;раз
кратъкыи;138718;A-;short;краткий
кремида;143470;Nb;tile;черепица
кремль;139908;Nb;Cremlin;кремль
крестины;136514;Nb;christening;крестины
кречатъ;141164;Nb;gerfalcon;кречет
кривичи;130558;Ne;Krivichs;кривичи
криво;124535;Df;wrong;неправильно
кривость;134236;Nb;injustice;несправедливость
кривыи;123898;A-;one-eyed, unjust;кривой, неправедный
кривьда;124077;Nb;injustice;неправда
кривѣ;132376;A-;unjust, false;ложно, неправедно
крикъ;140419;Nb;shout;крик
крилатыи;132630;A-;winged;крылатый
крило;123982;Nb;wing;крыло
крилосъ;130088;Nb;wing;крылос
критъ ;124093;Ne;Crete;Крит
критъскыи;134358;A-;Cretan;критский
кричание;124054;Nb;shout;крик
кричати;138891;V-;shout;кричать
кровать;143850;Nb;bed;кровать
кровля;136888;Nb;roof;кровля
кровосмѣшение;139142;Nb;incest;кровосмешение
кровьныи;131673;A-;blood;кровяной
кроити;135795;V-;cut;кроить
кромѣ;132606;R-;outside, besides;вне, за пределами, кроме
кромѣ;139355;Df;aside;в стороне
кропива;136358;Nb;nettle;крапива
кропити;139670;V-;sprinkle;кропить
кротость;133077;Nb;meekness;кротость
кротъко;133224;Df;meek;кротко
кротъкостояние;135109;Nb;patience;терпение
кротъкыи;123246;A-;meek;кроткий
кроха;134519;Nb;crumb;кроха
крошечька;140864;Nb;chip;крошечка
крошиво;136651;Nb;crumb;крошево
крошька;140865;Nb;bit;крошка
крошьня;136708;Nb;wicker basket;корзина
круглыи;134928;A-;round;круглый
кругъ;133197;Nb;round;круг
крутицкыи;140329;A-;of Krutitsy;крутицкий
крутыи;139283;A-;precipitous;крутой
кручина;136031;Nb;grief;кручина
кручинити;140811;V-;grieve;возвр: кручиниться
кручиноватыи;136037;A-;sad;печальный
кручиньныи;140109;A-;sad;печальный
кръвавыи;132225;A-;bloody;кровавый
кръволитие;123863;Nb;bloodshed;кровопролитие
кръвопиица;134786;Nb;bloodsucker;кровопийца
кръвопролитие;134891;Nb;bloodshed;кровопролитие
кръвь;129766;Nb;blood;кровь
крылечко;135005;Nb;porch;крылечко
крыльце;123958;Nb;porch;крыльцо
крыти;143447;V-;hide;скрывать(ся)
крьнути;124541;V-;buy;купить
крьстити;121232;V-;batpize;крестить(ся)
крьстиянинъ;125514;Nb;Christian;христианин
крьстияньскыи;125056;A-;Christian;христианский
крьстияньство;125500;Nb;Christian;христианство
крьстовыи;138974;A-;room for common prayer;комната для общей молитвы и приема гостей
крьстообразьно;134509;Df;crosswise;крестообразно
крьстообразьнѣ;142962;Df;crosswise;крестообразно
крьстъ;122848;Nb;cross;крест
крьстьныи;123565;A-;Cross;крестный
крьщение;123626;Nb;baptizing, Christening;крещение
крьщеныи;124718;A-;baptized;крещеный
крѣпити;134362;V-;strenghen;крепить(ся)
крѣпость;129823;Nb;strength;крепость
крѣпъко;123633;Df;hard, bravely, tightly;упорно, мужественно, сильно
крѣпъцѣ;142934;Df;firmly;твердо
крѣпъкыи;131703;A-;solid, strong, almighty;твердый, стойкий, крепкий, всемогущий
крѣпьлѣ;132846;Df;strictly;строго
крѣпѣ;142790;Df;stout;упорно
крѣсити;124829;V-;christen;крестить
крюкъ;144136;Nb;hook;крюк
ксенья;139427;Ne;Xenia;Ксения
кубара;133002;Nb;sea craft;морское судно
куда;133725;Dq;where;куда
куда;136629;Du;where (dir.);куда
кудесы;135503;Nb;wonders;чудеса
кудесьникъ;132422;Nb;wizard;кудесник
куды;135931;Df;where;куда
куды;135933;Du;where (dir.);куда
куды;140986;Dq;where;куда
кудьма;138737;Ne;Kudma;Кудьма
кудѣ;137003;Du;where (dir.);куда
кузмичь;141413;A-;Kuzma's;Кузмин
кузньць;137366;Nb;blacksmith;кузнец
кузратъ;143723;Ne;Kuzrat;Кузрат
кукьшинъ;137536;Nb;jar;кувшин
кулакъ;136028;Nb;fist;кулак
кулонгерь;143733;Ne;Kulonger;Кулонгер
кульмѣи;133659;Ne;Kulmei;Кульмей
куманъ;133347;Nb;Polovets;половец
куманъ;134199;Ne;Quman;Куман
кумиротворение;130696;Nb;idol-making;кумиротворение
кумиръ;129749;Nb;idol;кумир
кумыкы;140694;Nb;Kumyks;кумыки
куна;121126;Nb;kuna (money);куна
кундумцы;136199;Nb;kind of dumplings;вид пельменей
кунопъ;132680;Ne;Kunop;Куноп
кунуи;133428;Ne;Kunui;Кунуй
кунъ;142825;Nb;currency unit;денежная единица
купа;138211;Nb;loan;ссуда
купанъ;134056;Ne;Kupan;Купан
купати;131026;V-;bathe;купаться
купина;131069;Nb;bush;купина
купити;124537;V-;buy;купить
купливати;137375;V-;buy;покупать
купля;124517;Nb;purchase, trade;купля, торговля
куповати;129845;V-;buy;покупать
купьно;143010;Df;together;вместе
купьць;123616;Nb;merchant;купец
купьцьскыи;123605;A-;merchant;купеческий
купьчина;123700;Nb;merchant;купец
купѣль;125295;Nb;baptistery;купель
курбантъ;144223;Nb;St. Peter's day;Петров день
курение;143260;Nb;smoke;курение
курилъ;130956;Ne;Cyril;Кирилл
куринии ;124005;Ne;Kurinii;Куриний
курити;136427;V-;reek, smoke;куриться, дымиться
курокъ;139787;Nb;nab;курок
курочька;139666;Nb;hen;курица
куртокъ;134201;Ne;Kurtok;Курток
куръ;130928;Ne;Kur;Кур
куръ;136328;Nb;hen;курица
курьскъ;133063;Ne;Kursk;Курск
куря;125357;Ne;Kuria;Куря
куря;138263;Nb;hen;курица
курятина;143922;Nb;chicken;курятина
кусати;134521;V-;кусати;кусать
кусокъ;139570;Nb;piece;кусок
кусочекъ;134524;Nb;piece;кусочек
кустъ;139470;Nb;bush;куст
кусъ;136257;Nb;piece, coin;кусок, монета
кутарханъ;144251;Ne;Kutarkhan;Кутархан
кутия;134086;Nb;kutia (meal);кутья
куфирана;124141;Ne;Kufirana;Куфирана
куци;124440;Ne;Kutsi;Куци
кучьзрятъ;144024;Ne;Kuchezriat;Кучезрят
кушачьныи;135812;A-;tissue type;тип ткани
кчии;134196;Ne;Kchii;Кчий
къгда;124864;Dq;when;когда
къдѣ;121088;Dq;where;где
къдѣ;130168;Df;where;где, куда
къдѣ;130592;Du;where;где
къжьдо;122428;Px;each;каждый
къзнование;138973;Nb;insidious plan;коварный замысел
къзнь;131141;Nb;intrigue;кознь
кълбягъ;137689;Nb;nation;народность
кълча;133641;Ne;Kolch;Колч
кълчко;133604;Ne;Kolchko;Колчко
къметъ;132853;Nb;warrior;воин
кънига;121227;Nb;book;книга
кънижьникъ;130171;Nb;urist;знаток закона
кънижьныи;121245;A-;bookish, reference;книжный, образцовый
кънягыни ;124392;Nb;princess;княгиня
кънягынинъ;133621;A-;princess's;княгинин
къняжение;123025;Nb;reign;княжение
къняжичь;121078;Nb;prince;княжич
къняжия;124459;Nb;prince;князь
къняжь;133494;A-;princely;княжеский
кързно;131707;Nb;cloak;плащ
кърмилица;137632;Nb;wet nurse;кормилица
кърмильць;124805;Nb;breadwinner;кормилец
кърмитель;131409;Nb;breadwinner;кормилец
кърмити;123691;V-;feed;кормить
кърмля;131317;Nb;feeding;кормление
кърмъ;136436;Nb;feed;корм
кърмьчия;139617;Nb;collection of rules;сборник правил
къротовъ;124135;A-;Krotov;Кротов
кърсунь;131044;Ne;Korsun;Корсунь
кърсуньскыи;124614;A-;Korsun;корсунский
кърсунянинъ;124659;Nb;korsunianin, Korsunianin;корсунянин, Корсунянин
кърсь ;123068;Ne;Kors;Корсь
кърчага;131325;Nb;jar;сосуд
кърчьма;135674;Nb;pub;трактир
кърьста;131411;Nb;coffin;гроб
къто;120450;Pi;who;кто
къто;124161;Pr;who;кто
кътоже;130077;Px;somebody;кто-нибудь
кыевъ;122863;Ne;Kyiv (Kiev);Киев
кыевьскыи;121056;A-;Kiev (Kyiv);киевский
кыевьць;123022;Ne;Kievets;Киевец
кыи;123665;Pr;what, which;какой, который
кыи;124630;Px;some, somebody;некоторый, какой-нибудь, некто
кыи;130496;Pi;what, which;какой, который
кыиже;133686;Px;some, no one;некоторый, никто
кыижьдо;131964;Px;any;каждый, всякий
кынарясъ;144281;Ne;Kinarias;Кинаряс
кыпѣти;142942;V-;flow out;вытекать
кысель;131273;Nb;kissel;кисель
кысьнути;136995;V-;turn sour;киснуть
кытаи;144033;Ne;China (Kitai);Китай
кытанъ ;132975;Ne;Kytan;Китан
кыянинъ;124850;Nb;kievlyanin;киевлянин
кьрсуньць;124678;Nb;korsunianin;корсунянин
кьснятинъ;134577;Ne;Constantine;Константин
лаванъ ;130993;Ne;Lavan;Лаван
лавочьныи;135622;A-;trade;лавочный
лаврентиевичь;141416;A-;Laurentius';Лаврентьев
лаврентиевъ;138776;A-;Laurentius's;лаврентиев
лавъка;135990;Nb;shop, bench;лавка
лавъчька;137012;Nb;shop;лавочка
лагодити;133716;V-;indulge;предаваться чему-либо
ладанъ;135018;Nb;incense;ладан
ладити;134139;V-;get on;ладить
ладонъ;140517;Nb;palm;ладонь
ладьно;140313;Df;good;хорошо
ладья;140303;Nb;shallop;ладья
лазити;138255;V-;swarm;лезть
лазоревъ;132597;A-;Lazarus's;Лазарев
лазорь;132517;Ne;Lazarus;Лазарь
лакомьство;135438;Nb;greed;жадность
лакътъ;132719;Nb;elbow;локоть
ламехъ;131916;Ne;Lamekh;Ламех
ланита;130480;Nb;cheek;щека
лапотьникъ;130026;Nb;man who walks wearing bast shoes;тот, кто ходит в лаптях
лапша;136195;Nb;noodles;лапша
ларионъ;132094;Ne;Larion (Illarion);Ларион (Илларион)
ларъ;143711;Ne;Lar;Лар
ларь;143557;Nb;box;ларь
ларь;144299;Ne;Lar;Ларь
ларьць;135905;Nb;box;ларец
ласка;137382;Nb;weasel;ласка
ласковыи;132952;A-;gentle;ласковый
латина;141539;Nb;Latin;латынь
латини;121275;Nb;latin;латин
латиньскыи;121241;A-;Latin;латинский
латъка;131321;Nb;pot;горшок
латыне;135594;Nb;Latins;латины
латынникъ;140763;Nb;latin;латин
латыньскыи;140937;A-;Latin;латинский
латышь;140433;Nb;Latvian;латыш
лебедь;138265;Nb;swan;лебедь
левашникъ;136247;Nb;kind of pie;вид пирожка
левгия;130998;Ne;Leugia;Левгия
левонтии;123591;Ne;Leontios;Левонтий (Леонтий)
легонько;135944;Df;light;легонько
ледъ;131878;Nb;ice;лед
лежати;125331;V-;lie;лежать
леоновъ;132267;A-;Leon's;Леонов
леонтии;130964;Ne;Leontios;Леонтий
леонъ;121143;Ne;Leon;Леон
летѣти;124747;V-;fly;лететь
лечи;142664;V-;lie (down);лечь
лещи;130933;V-;lie (down);лечь
ли;120366;Du;if;ли
ли;120388;C-;if;ли
ли;120483;Df;if, even, really;же, разве, если, ли
либиаръ;124405;Ne;Libiar;Либиар
либь;123070;Ne;Libs;либь
ливановъ;123986;A-;Lebanese;ливанский
ливанъ;141494;Ne;Lebanon;Ливан
ливия;143060;Ne;Libya;Ливия
лидия;124020;Ne;Lydia;Лидия
ликаония;124015;Ne;Lycaonia;Ликаония
ликия;124018;Nb;Lycia;Ликия
ликъ;130094;Nb;face, choral singing;лицо, хоровое пение
ликъствование;131460;Nb;glorification;прославление
лимень;130775;Nb;gulf;залив
лимонъ;136594;Nb;lemon;лимон
лимоньныи;136590;A-;citric;лимонный
липнягъ;136127;Nb;linden grove;липовая роща
лисица;139553;Nb;fox;лисица
листвие;130455;Nb;foliage;листва
листвьнъ;131967;Ne;Listven;Листвен
листъ;141377;Nb;sheet;бумага
листь;137556;Nb;leaf;лист
листье;140759;Nb;haulm;ботва
лисъ;138963;Nb;fox;лис
лити;139288;V-;pour;лить, наливать
лития;143154;Nb;church service;церковная служба
литра;124684;Nb;pound;фунт
литургисати;140381;V-;serve the Liturgy;совершать литургию
литургия;132513;Nb;liturgy;литургия
литъва;123066;Ne;litva (Lithuania proper);литва, Литва
лихва;135602;Nb;excessive profit;чрезмерная прибыль
лихо;133245;Df;evil;зло
лиховати;134852;V-;deprive;лишать
